box,title,address,type,types,kosher,phone,image-src
בוטניקה,"בוטניקה, תל אביב","הירקון 78, תל אביב",פאב-בר,null,null,053-4247496,https://images.rest.co.il/Rests/staticmaps/80243068/s1w566h250lon34.767167lat32.076826.png
לחם ארז,"לחם ארז, מתחם שינקין, תל אביב","שיינקין 44, מתחם שינקין, תל אביב",בית קפה,null,"כשר בד""ץ",053-9439767,https://images.rest.co.il/Rests/staticmaps/63668010/s1w566h250lon34.775119lat32.068793.png
לחם תושיה,"לחם תושיה, דיזנגוף, תל אביב","דיזנגוף 68, תל אביב",קונדיטוריה-מאפיה,null,null,03-5252854,https://images.rest.co.il/Rests/staticmaps/25546400/s1w566h250lon34.774704lat32.076439.png
נלסון 33 - בר קפה,"נלסון 33 - בר קפה, צפון תל אביב","אופנהיימר 11, צפון תל אביב",בית קפה,null,null,053-9426831,https://images.rest.co.il/Rests/staticmaps/80117606/s1w566h250lon34.800124lat32.120008.png
טנאת,"טנאת, תל אביב","צ'לנוב 27, תל אביב",מסעדה אתיופית,null,כשר,053-7102072,https://images.rest.co.il/Rests/staticmaps/80156233/s1w566h250lon34.77487lat32.057143.png
קפה לנדוור הפיל,"קפה לנדוור הפיל, נאות אפקה, תל אביב  צומת הפיל","בני אפרים 280, נאות אפקה, תל אביב",בית קפה,null,null,053-9378889,https://images.rest.co.il/Rests/staticmaps/80287201/s1w566h250lon34.824204lat32.122692.png
פינה האדומה,"פינה האדומה, תל אביב",תל אביב,בית קפה,null,null,050-7519500,
פרש  קיטשן,"פרש  קיטשן, תל אביב","אבא אחימאיר 18, תל אביב",null,null,null,03-5472548,https://images.rest.co.il/Rests/staticmaps/80322694/s1w566h250lon34.778934lat32.066236.png
רולדין - ROLADIN,"רולדין - ROLADIN, קניון עזריאלי, תל אביב  קניון עזריאלי","דרך מנחם בגין 132, קניון עזריאלי, תל אביב",קונדיטוריה-מאפיה,null,כשר,053-9439690,https://images.rest.co.il/Rests/staticmaps/80071841/s1w566h250lon34.791061lat32.074354.png
פפוש papush - papush,"פפוש papush - papush, אבן גבירול, תל אביב","אבן גבירול 33, תל אביב",אוכל רחוב,null,כשר,053-9347308,https://images.rest.co.il/Rests/staticmaps/80298394/s1w566h250lon34.781551lat32.075344.png
ריבר סייד - Riverside,"ריבר סייד - Riverside, צפון תל אביב","שד' רוקח ישראל 2, צפון תל אביב",מסעדה ים תיכונית,null,null,053-9444092,https://images.rest.co.il/Rests/staticmaps/80018666/s1w566h250lon34.780403lat32.098347.png
המעדניה,"המעדניה, פלורנטין, תל אביב","גנני 1, פלורנטין, תל אביב",אוכל רחוב,null,null,053-4275620,https://images.rest.co.il/Rests/staticmaps/80242205/s1w566h250lon34.768295lat32.058291.png
הקוסם,"הקוסם, תל אביב","שלמה המלך 1, תל אביב",אוכל רחוב,null,₪,053-9439104,https://images.rest.co.il/Rests/staticmaps/66869920/s1w566h250lon34.77682lat32.076274.png
טנקה - tenka,"טנקה - tenka, שיכון דן, תל אביב","תבואות הארץ 1, שיכון דן, תל אביב",מסעדה יפנית,null,₪,053-9386130,https://images.rest.co.il/Rests/staticmaps/80292671/s1w566h250lon34.826653lat32.111343.png
לילה,"לילה, תל אביב","הכובשים 55, תל אביב",פאב-בר,null,כשר,053-9379170,https://images.rest.co.il/Rests/staticmaps/80285569/s1w566h250lon34.765888lat32.069042.png
שמנמונת,"שמנמונת, תל אביב","יהודה הלוי 109, תל אביב",בית קפה,null,₪,053-9379033,https://images.rest.co.il/Rests/staticmaps/80217484/s1w566h250lon34.779288lat32.066886.png
הטאבון,"הטאבון, תל אביב","יגאל אלון 155, תל אביב",פיצריה,null,כשר,053-9418602,https://images.rest.co.il/Rests/staticmaps/80138656/s1w566h250lon34.797235lat32.078215.png
חומוס חסון,"חומוס חסון, פלורנטין, תל אביב","הרצל 68, פלורנטין, תל אביב",חומוס,null,null,053-9366134,https://images.rest.co.il/Rests/staticmaps/80190511/s1w566h250lon34.7708lat32.058067.png
גולדה הגלידה העברית הראשונה,"גולדה הגלידה העברית הראשונה, נווה צדק, תל אביב","שלוש 28, נווה צדק, תל אביב",גלידריה,null,null,03-5105545,https://images.rest.co.il/Rests/staticmaps/80070480/s1w566h250lon34.765011lat32.060763.png
ג'אנגו,"ג'אנגו, תל אביב","בן יהודה 155, תל אביב",null,null,null,050-9044848,https://images.rest.co.il/Rests/staticmaps/80329338/s1w566h250lon34.778934lat32.066236.png
פסטה בסטה,"פסטה בסטה, דיזנגוף, תל אביב","דיזנגוף 300, תל אביב",מסעדה איטלקית,null,₪,053-9368798,https://images.rest.co.il/Rests/staticmaps/80206423/s1w566h250lon34.776755lat32.094316.png
הבסטה,"הבסטה, תל אביב  שוק הכרמל","השומר 4, תל אביב",null,null,null,03-5169234,https://images.rest.co.il/Rests/staticmaps/80032432/s1w566h250lon34.769295lat32.068586.png
לונה פיינה,"לונה פיינה, פלורנטין, תל אביב","אברבנאל 31, פלורנטין, תל אביב",מסעדה איטלקית,null,null,053-9385116,https://images.rest.co.il/Rests/staticmaps/80280265/s1w566h250lon34.767228lat32.056997.png
פפר - PEPER,"פפר - PEPER, תל אביב","יגאל אלון 96, תל אביב",סנדוויץ' בר,null,₪,053-9428351,https://images.rest.co.il/Rests/staticmaps/80104714/s1w566h250lon34.793735lat32.069539.png
ביסטרו שלום עליכם,"ביסטרו שלום עליכם, תל אביב","שלום עליכם 5, תל אביב",ביסטרו,null,כשר,053-9386084,https://images.rest.co.il/Rests/staticmaps/80292985/s1w566h250lon34.767419lat32.076356.png
הפסטה הטריה,"הפסטה הטריה, תל אביב  דיזנגוף סטר","דיזנגוף, תל אביב",null,null,null,050-3077751,https://images.rest.co.il/Rests/staticmaps/80324947/s1w566h250lon34.778934lat32.066236.png
בורק ברק יחזקאלי - Burek,"בורק ברק יחזקאלי - Burek, פלורנטין, תל אביב","צריפין 39, פלורנטין, תל אביב",מסעדת קונספט,null,null,053-7932203,https://images.rest.co.il/Rests/staticmaps/80263781/s1w566h250lon34.767146lat32.056684.png
מאפית הכרמל,"מאפית הכרמל, תל אביב","הכרמל 9, תל אביב",קונדיטוריה-מאפיה,null,כשר,053-9369661,https://images.rest.co.il/Rests/staticmaps/10565220/s1w566h250lon34.767838lat32.067984.png
קפיטרי - cafetery,"קפיטרי - cafetery, נמל תל-אביב  נמל","יורדי הסירה 1, נמל תל-אביב",בית קפה,null,null,053-9372572,https://images.rest.co.il/Rests/staticmaps/80202206/s1w566h250lon34.773923lat32.096394.png
גולדה,"גולדה, תל אביב","מאיר יערי 19, תל אביב",גלידריה,null,null,03-6885836,https://images.rest.co.il/Rests/staticmaps/80324592/s1w566h250lon34.778934lat32.066236.png
יאפה אל ג'מילה,"יאפה אל ג'מילה , יפו, תל אביב","עולי ציון 4, יפו, תל אביב",מסעדה ים תיכונית,null,₪₪,053-9365735,https://images.rest.co.il/Rests/staticmaps/80223288/s1w566h250lon34.755849lat32.053894.png
רק היום,"רק היום, רמת החייל, תל אביב","הנחושת 3, רמת החייל, תל אביב",מסעדת דגים,null,₪,053-9387882,https://images.rest.co.il/Rests/staticmaps/80233752/s1w566h250lon34.838119lat32.110044.png
ארומה,"ארומה, דיזנגוף, תל אביב  פינת גורדון","דיזנגוף 132, תל אביב",בית קפה,null,₪,03-5225388,https://images.rest.co.il/Rests/staticmaps/80002417/s1w566h250lon34.773874lat32.081813.png
טארו בוטיק סושי ווק,"טארו בוטיק סושי ווק, תל אביב","אבא אחימאיר 17, תל אביב",null,null,null,03-5090950,https://images.rest.co.il/Rests/staticmaps/80329144/s1w566h250lon34.778934lat32.066236.png
קוביקפה,"קוביקפה, תל אביב",תל אביב,בית קפה,null,null,052-9127985,https://images.rest.co.il/Rests/staticmaps/80122266/s1w566h250lon34.778934lat32.066236.png
מפגש בלומפילד,"מפגש בלומפילד, תל אביב","שארית ישראל 23, תל אביב",מסעדה מזרחית,null,null,053-9374860,https://images.rest.co.il/Rests/staticmaps/24533300/s1w566h250lon34.762342lat32.052459.png
אבולעפיה,"אבולעפיה, יפו, תל אביב","יפת 7, יפו, תל אביב",קונדיטוריה-מאפיה,null,null,053-9367601,https://images.rest.co.il/Rests/staticmaps/15855380/s1w566h250lon34.755801lat32.05426.png
פפו Pepo מטבח ספרדי,"פפו Pepo מטבח ספרדי, תל אביב","לבונטין 13, תל אביב",מסעדה ספרדית,null,₪,053-9378802,https://images.rest.co.il/Rests/staticmaps/80216900/s1w566h250lon34.775456lat32.061909.png
גולדה הגלידה העברית הראשונה,"גולדה הגלידה העברית הראשונה, תל אביב","מקוה ישראל 22, תל אביב",גלידריה,null,null,053-9380181,https://images.rest.co.il/Rests/staticmaps/80287886/s1w566h250lon34.776346lat32.06268.png
בוסקה בר,"בוסקה בר, תל אביב","טשרניחובסקי 2, תל אביב",null,null,null,03-6209565,https://images.rest.co.il/Rests/staticmaps/80133245/s1w566h250lon34.770201lat32.070807.png
khudari - קאדרי,"khudari - קאדרי, תל אביב","קרליבך 39, תל אביב",מסעדה טבעונית,"אוכל דרוזי , אוכל טבעוני , אוכל צמחוני , חומוס , מזון בריאות",₪,053-9372755,https://images.rest.co.il/Rests/staticmaps/80316894/s1w566h250lon34.782437lat32.070458.png
פרלה,"פרלה, פלורנטין, תל אביב","פלורנטין 8, תל אביב",פאב-בר,null,null,053-9439001,https://images.rest.co.il/Rests/staticmaps/80005696/s1w566h250lon34.767811lat32.056166.png
שניצל קומפני,"שניצל קומפני, תל אביב","לילינבלום 29, תל אביב",שניצליה,null,כשר,053-9438922,https://images.rest.co.il/Rests/staticmaps/80049268/s1w566h250lon34.771096lat32.062326.png
חומוס כספי,"חומוס כספי, תל אביב","יהודה המכבי 61, תל אביב",חומוס,null,כשר,053-9427694,https://images.rest.co.il/Rests/staticmaps/80279203/s1w566h250lon34.791223lat32.093904.png
הגלוטרייה,"הגלוטרייה, תל אביב","רביבים, תל אביב",null,null,null,054-2288550,https://images.rest.co.il/Rests/staticmaps/80322799/s1w566h250lon34.778934lat32.066236.png
לבל אפ גיימינג בר - LVLUP GAMING BAR,"לבל אפ גיימינג בר - LVLUP GAMING BAR, תל אביב","יד חרוצים 14, תל אביב",פאב-בר,"המבורגר , פיוז'ן וקוקטייל",כשר,053-7104988,https://images.rest.co.il/Rests/staticmaps/80301380/s1w566h250lon34.783429lat32.061763.png
פיקולה פסטה,"פיקולה פסטה, תל אביב","בן יהודה 53, תל אביב",מסעדה איטלקית,null,₪₪,053-9439203,https://images.rest.co.il/Rests/staticmaps/62919340/s1w566h250lon34.768963lat32.078788.png
המכשפה,"המכשפה, תל אביב",תל אביב,null,null,null,054-7005202,
שרה,"שרה, יפו, תל אביב","יהודה הימית 2, יפו, תל אביב",מסעדת בשרים,null,null,053-9440102,https://images.rest.co.il/Rests/staticmaps/69105170/s1w566h250lon34.759785lat32.049819.png
ארומה,"ארומה, תל אביב","יגאל אלון 88, תל אביב",בית קפה,null,₪,053-9439507,https://images.rest.co.il/Rests/staticmaps/80111221/s1w566h250lon34.792971lat32.066936.png
מקדונלד'ס,"מקדונלד'ס, רמת אביב, תל אביב","חיים לבנון 55, רמת אביב, תל אביב",מסעדת המבורגרים,null,כשר,053-9439905,https://images.rest.co.il/Rests/staticmaps/80033147/s1w566h250lon34.801489lat32.111014.png
המרוקאית,"המרוקאית, תל אביב","הכרמל 38, תל אביב",null,null,null,052-6598212,https://images.rest.co.il/Rests/staticmaps/80322055/s1w566h250lon34.778934lat32.066236.png
צ'נטרו,"צ'נטרו, תל אביב","לוינסקי 30, תל אביב",null,null,null,050-9774412,https://images.rest.co.il/Rests/staticmaps/80322635/s1w566h250lon34.778934lat32.066236.png
ביג מאמא,"ביג מאמא, תל אביב","קרליבך 15, תל אביב",מסעדה איטלקית,null,₪,053-9443033,https://images.rest.co.il/Rests/staticmaps/80300313/s1w566h250lon34.783182lat32.067536.png
גוגא קפה ויין,"גוגא קפה ויין, אבן גבירול, תל אביב","צייטלין 1, אבן גבירול, תל אביב",בית קפה,null,null,03-5271005,https://images.rest.co.il/Rests/staticmaps/80257406/s1w566h250lon34.781548lat32.079537.png
הגריל הלוהט,"הגריל הלוהט, שכונת התקווה, תל אביב  שכונת התקווה","אצ""ל 68, שכונת התקווה, תל אביב",מסעדת בשרים,null,"כשר בד""ץ",053-9346065,https://images.rest.co.il/Rests/staticmaps/80300835/s1w566h250lon34.792867lat32.048651.png
ניין ביץ' - 9 beach,"ניין ביץ' - 9 beach, נמל תל-אביב","חבקוק 1, נמל תל-אביב",בית קפה,null,₪,050-7558644,https://images.rest.co.il/Rests/staticmaps/80105794/s1w566h250lon34.77245lat32.093598.png
ביר שופ - beer shop,"ביר שופ - beer shop, תל אביב","יהודה הלוי 21, תל אביב",פאב-בר,null,null,053-9428120,https://images.rest.co.il/Rests/staticmaps/80302794/s1w566h250lon34.770188lat32.061553.png
85l15,"85l15, תל אביב","מלכי ישראל 15, תל אביב",בית קפה,null,null,03-7929951,https://images.rest.co.il/Rests/staticmaps/80328032/s1w566h250lon34.778934lat32.066236.png
פיצה עגבניה,"פיצה עגבניה, דיזנגוף, תל אביב  דיזנגוף סנטר","דיזנגוף 50, תל אביב",פיצריה,null,כשר למהדרין,053-9439771,https://images.rest.co.il/Rests/staticmaps/74233120/s1w566h250lon34.775501lat32.075167.png
Take Away,"Take Away, תל אביב","הכרמל 7, תל אביב",null,null,null,055-2520299,https://images.rest.co.il/Rests/staticmaps/80322885/s1w566h250lon34.778934lat32.066236.png
רוסטיקו - RUSTICO,"רוסטיקו - RUSTICO, שדרות רוטשילד, תל אביב","שד' רוטשילד 15, תל אביב",מסעדה איטלקית,null,₪₪,053-9443070,https://images.rest.co.il/Rests/staticmaps/80001700/s1w566h250lon34.770999lat32.063179.png
קיורטוש - המאפה ההונגרי,"קיורטוש - המאפה ההונגרי, תל אביב  שוק הכרמל","הכרמל 11, תל אביב",קונדיטוריה-מאפיה,null,כשר,053-9349183,https://images.rest.co.il/Rests/staticmaps/80311789/s1w566h250lon34.768134lat32.068109.png
Cafe saga קפה סאגה,"Cafe saga קפה סאגה, יפו, תל אביב  יפו","רבי פנחס 4, יפו, תל אביב",בית קפה,null,null,053-9418964,https://images.rest.co.il/Rests/staticmaps/80302977/s1w566h250lon34.754813lat32.052869.png
בולונז'רי 96,"בולונז'רי 96, תל אביב","יגאל אלון 96, תל אביב",קונדיטוריה-מאפיה,null,כשר,053-9378971,https://images.rest.co.il/Rests/staticmaps/80285037/s1w566h250lon34.793735lat32.069539.png
פיצה רומא,"פיצה רומא, יפו, תל אביב","יפו, תל אביב",פיצריה,null,null,053-9386306,https://images.rest.co.il/Rests/staticmaps/80292525/s1w566h250lon34.751042lat32.039483.png
גולדות,"גולדות, תל אביב","אלנבי 78, תל אביב",סנדוויץ' בר,null,כשר,053-9370148,https://images.rest.co.il/Rests/staticmaps/80262072/s1w566h250lon34.771136lat32.067622.png
התאילנדית בהר סיני,"התאילנדית בהר סיני, תל אביב","הר סיני 1, תל אביב",מסעדה תאילנדית,null,₪₪,053-9387733,https://images.rest.co.il/Rests/staticmaps/80226142/s1w566h250lon34.771833lat32.064373.png
מג'יק בורגר,"מג'יק בורגר, אבן גבירול, תל אביב","אבן גבירול 64, תל אביב",מסעדת המבורגרים,null,כשר,053-8093494,https://images.rest.co.il/Rests/staticmaps/75535060/s1w566h250lon34.781416lat32.07974.png
מקסיקנוס- Mexicanos,"מקסיקנוס- Mexicanos, תל אביב","דרך שלמה 44, תל אביב",מסעדה דרום אמריקאית,null,כשר,053-9377421,https://images.rest.co.il/Rests/staticmaps/80278116/s1w566h250lon34.767093lat32.054904.png
בית החומוס והפול,"בית החומוס והפול, תל אביב","החשמונאים 119, תל אביב",חומוס,null,כשר,053-9384412,https://images.rest.co.il/Rests/staticmaps/33320790/s1w566h250lon34.785983lat32.069488.png
פיליפ - פיצה צרפתית - philippe,"פיליפ - פיצה צרפתית - philippe, תל אביב","קרליבך 20, תל אביב",פיצריה,"אוכל איטלקי , אוכל צרפתי ופיצה",₪,053-9443290,https://images.rest.co.il/Rests/staticmaps/80056880/s1w566h250lon34.782234lat32.070926.png
YAM צבעים בצלחת,"YAM צבעים בצלחת, תל אביב","הנרייטה סולד 1, תל אביב",קייטרינג,null,null,052-2233899,https://images.rest.co.il/Rests/staticmaps/80185929/s1w566h250lon34.791255lat32.078228.png
זותא פיצה - ZotaPizza,"זותא פיצה - ZotaPizza, דיזנגוף, תל אביב","דיזנגוף 177, תל אביב",פיצריה,null,כשר,053-8095267,https://images.rest.co.il/Rests/staticmaps/80104017/s1w566h250lon34.774384lat32.084975.png
בשרים,"בשרים, רמת החייל, תל אביב","הברזל 33, רמת החייל, תל אביב",מסעדת בשרים,null,כשר,053-9385176,https://images.rest.co.il/Rests/staticmaps/80237044/s1w566h250lon34.841469lat32.110357.png
סטארסקי - Starsky,"סטארסקי - Starsky, תל אביב","אלנבי 48, תל אביב",פאב-בר,null,null,053-9438810,https://images.rest.co.il/Rests/staticmaps/80132060/s1w566h250lon34.769542lat32.071496.png
חומוסיית חמודי,"חומוסיית חמודי, תל אביב","הסוללים 7, תל אביב",null,null,null,054-7371243,https://images.rest.co.il/Rests/staticmaps/80123453/s1w566h250lon34.795329lat32.069537.png
מרסלוס,"מרסלוס, תל אביב","ריב""ל 7, תל אביב",מסעדת בשרים,null,כשר,053-9440222,https://images.rest.co.il/Rests/staticmaps/75265360/s1w566h250lon34.782273lat32.062761.png
החביתות של אלברט,"החביתות של אלברט, תל אביב","דרך מנחם בגין 74, תל אביב",סנדוויץ' בר,null,כשר,053-6130284,https://images.rest.co.il/Rests/staticmaps/80175719/s1w566h250lon34.784562lat32.06654.png
טייסטינג רום,"טייסטינג רום, מתחם שרונה, תל אביב  מתחם שרונה","אליעזר קפלן 36, מתחם שרונה, תל אביב",מסעדת קונספט,null,null,053-9366079,https://images.rest.co.il/Rests/staticmaps/80187993/s1w566h250lon34.788256lat32.073219.png
בריו 66,"בריו 66, תל אביב","יהודה המכבי 66, תל אביב",פאב-בר,null,null,03-5460210,https://images.rest.co.il/Rests/staticmaps/80054174/s1w566h250lon34.793519lat32.094185.png
המטבח של אלי,"המטבח של אלי, תל אביב","הנציב 28, תל אביב",מסעדת בשרים,null,null,053-9387811,https://images.rest.co.il/Rests/staticmaps/80233262/s1w566h250lon34.790332lat32.070321.png
לליבלה-lalibela,"לליבלה-lalibela, תל אביב","העליה 43, תל אביב",מסעדה אתיופית,null,כשר,053-9368637,https://images.rest.co.il/Rests/staticmaps/80299085/s1w566h250lon34.773012lat32.056799.png
ILAN'S,"ILAN'S, תל אביב  קניון TLV","קרליבך 4, תל אביב",בית קפה,null,כשר,053-9346969,https://images.rest.co.il/Rests/staticmaps/80315536/s1w566h250lon34.783394lat32.067548.png
טאיזו - Taizu,"טאיזו - Taizu, תל אביב","דרך מנחם בגין 23, תל אביב",מסעדה אסייאתית,"אוכל אסייאתי , אוכל טבעוני , אוכל צמחוני , בשרים , דגים",₪₪₪,053-7933705,https://images.rest.co.il/Rests/staticmaps/80143496/s1w566h250lon34.780129lat32.063734.png
אלתרנתיב,"אלתרנתיב, תל אביב","דובנוב 10, תל אביב",בית קפה,null,כשר למהדרין,053-9424683,https://images.rest.co.il/Rests/staticmaps/12425690/s1w566h250lon34.783646lat32.074764.png
שיפוד,"שיפוד, תל אביב","מיטב 6, תל אביב",מסעדה מזרחית,null,₪,053-9439521,https://images.rest.co.il/Rests/staticmaps/65261640/s1w566h250lon34.795032lat32.065631.png
באבא ג'ים,"באבא ג'ים, תל אביב","דרך שלמה 44, תל אביב",מסעדה תורכית,null,₪,053-9348189,https://images.rest.co.il/Rests/staticmaps/80307121/s1w566h250lon34.767093lat32.054904.png
קרטושקה,"קרטושקה, תל אביב","בוגרשוב 32, תל אביב",null,null,null,054-3555995,https://images.rest.co.il/Rests/staticmaps/80328544/s1w566h250lon34.778934lat32.066236.png
רולדין - ROLADIN,"רולדין - ROLADIN, דיזנגוף, תל אביב  דיזנגוף סנטר","דיזנגוף 50, תל אביב",קונדיטוריה-מאפיה,null,null,053-9439797,https://images.rest.co.il/Rests/staticmaps/80004984/s1w566h250lon34.775501lat32.075167.png
"""אוה""","""אוה"", תל אביב","אלנבי 91, תל אביב",מסעדה מזרח אירופאית,null,כשר,053-9369617,https://images.rest.co.il/Rests/staticmaps/10909680/s1w566h250lon34.77233lat32.065438.png
קפה זומר,"קפה זומר, דיזנגוף, תל אביב","פרישמן 39, דיזנגוף, תל אביב",בית קפה,null,₪,053-9377295,https://images.rest.co.il/Rests/staticmaps/80068601/s1w566h250lon34.773555lat32.079812.png
שמש,"שמש, שכונת התקווה, תל אביב","התקוה 13, שכונת התקווה, תל אביב",מסעדת בשרים,בשרים,כשר,053-9369093,https://images.rest.co.il/Rests/staticmaps/36951030/s1w566h250lon34.790555lat32.052913.png
ארקפה - Arcaffe,"ארקפה - Arcaffe, מרכז שוסטר, תל אביב  מרכז שוסטר, רמת אביב ג'","אבא אחימאיר 27, מרכז שוסטר, תל אביב",בית קפה,null,null,053-9381086,https://images.rest.co.il/Rests/staticmaps/80280991/s1w566h250lon34.803526lat32.124678.png
פרג'י,"פרג'י, תל אביב","פנחס בן יאיר 8, תל אביב",null,null,null,03-5188052,https://images.rest.co.il/Rests/staticmaps/80329939/s1w566h250lon34.778934lat32.066236.png
אסליק קייטרינג בוטיק,"אסליק קייטרינג בוטיק, תל אביב",תל אביב,קייטרינג,null,null,050-2229547,
pepato-pizza&bar,"pepato-pizza&bar, יפו, תל אביב","דרך שלמה 3, יפו, תל אביב",פיצריה,null,null,053-9378403,https://images.rest.co.il/Rests/staticmaps/80262285/s1w566h250lon34.760137lat32.055019.png
פופ אפ פיצה,"פופ אפ פיצה, תל אביב","הכרמל 42, תל אביב",פיצריה,null,כשר,053-6114308,https://images.rest.co.il/Rests/staticmaps/80313598/s1w566h250lon34.768434lat32.068183.png
באבאי,"באבאי, יפו, תל אביב","קדם 102, יפו, תל אביב",מסעדת דגים,null,₪₪,053-9380431,https://images.rest.co.il/Rests/staticmaps/80221386/s1w566h250lon34.746669lat32.040154.png
חנניא,"חנניא, תל אביב",תל אביב,פאב-בר,null,null,052-3999229,
שווארמה שינקין,"שווארמה שינקין, תל אביב","המלך ג'ורג' 1, תל אביב",חומוס,null,כשר,053-9418422,https://images.rest.co.il/Rests/staticmaps/80090894/s1w566h250lon34.770623lat32.070023.png
חומוס חמודות,"חומוס חמודות, תל אביב","יצחק שדה 28, תל אביב",חומוס,null,null,054-4888771,https://images.rest.co.il/Rests/staticmaps/80324346/s1w566h250lon34.778934lat32.066236.png
מזנון רבקה,"מזנון רבקה, שכונת התקווה, תל אביב","כביר 4, שכונת התקווה, תל אביב",אוכל רחוב,null,₪,053-9427658,https://images.rest.co.il/Rests/staticmaps/80070755/s1w566h250lon34.786921lat32.050525.png
בית קפה - מעדניה ניסו,"בית קפה - מעדניה ניסו, יפו, תל אביב  שוק הפישפשים","נועם 5, יפו, תל אביב",בית קפה,null,₪,053-9366295,https://images.rest.co.il/Rests/staticmaps/80252579/s1w566h250lon34.757446lat32.051643.png
פרוסות פקטורי,"פרוסות פקטורי, רמת החייל, תל אביב","הברזל 34, רמת החייל, תל אביב",null,null,null,03-6493000,https://images.rest.co.il/Rests/staticmaps/80133721/s1w566h250lon34.841026lat32.109837.png
קפה קאימק,"קפה קאימק, תל אביב","לוינסקי 49, תל אביב",בית קפה,null,null,03-5185228,https://images.rest.co.il/Rests/staticmaps/80324673/s1w566h250lon34.778934lat32.066236.png
קפה שרגא,"קפה שרגא, תל אביב","יוסף קארו 10, תל אביב",בית קפה,null,₪,053-9439540,https://images.rest.co.il/Rests/staticmaps/32988580/s1w566h250lon34.790294lat32.070714.png
פיצה עגבניה,"פיצה עגבניה, מתחם שינקין, תל אביב","שיינקין 19, מתחם שינקין, תל אביב",פיצריה,null,כשר למהדרין,053-8095156,https://images.rest.co.il/Rests/staticmaps/80316049/s1w566h250lon34.773365lat32.06931.png
הג'חנוניה,"הג'חנוניה, תל אביב","דרך משה דיין 33, תל אביב",מטבח ביתי,null,null,052-5885166,https://images.rest.co.il/Rests/staticmaps/80300349/s1w566h250lon34.799548lat32.050547.png
בוקה בוקה - Bocca bcoca,"בוקה בוקה - Bocca bcoca, תל אביב","הכרמל 40, תל אביב",אוכל רחוב,null,כשר,053-9427727,https://images.rest.co.il/Rests/staticmaps/80308567/s1w566h250lon34.768203lat32.068011.png
בא לי שווארמה,"בא לי שווארמה, תל אביב","שד' ירושלים 83, תל אביב",null,null,null,053-7390027,https://images.rest.co.il/Rests/staticmaps/80327863/s1w566h250lon34.778934lat32.066236.png
מקס ברנר - MAX BRENNER,"מקס ברנר - MAX BRENNER, מתחם שרונה, תל אביב","אלוף קלמן מגן 3, מתחם שרונה, תל אביב",בית קפה,"מאכלי שוקולד , קפה , גלידה ומאפה",null,053-9379487,https://images.rest.co.il/Rests/staticmaps/80215919/s1w566h250lon34.787057lat32.071492.png
קריספי שניצל,"קריספי שניצל, קניון עזריאלי, תל אביב  קניון עזריאלי","דרך מנחם בגין 132, קניון עזריאלי, תל אביב",שניצליה,null,כשר,053-9387721,https://images.rest.co.il/Rests/staticmaps/80231698/s1w566h250lon34.791061lat32.074354.png
"ה""שובך""","ה""שובך"", תל אביב","דם המכבים 26, תל אביב",מסעדה מזרחית,null,כשר,053-9439582,https://images.rest.co.il/Rests/staticmaps/17590830/s1w566h250lon34.800238lat32.069284.png
בורגר בר 39,"בורגר בר 39, תל אביב","בן יהודה 43, תל אביב",מסעדת המבורגרים,null,כשר,03-5171829,https://images.rest.co.il/Rests/staticmaps/72587830/s1w566h250lon34.768472lat32.077844.png
THAI PAI FOOD,"THAI PAI FOOD, תל אביב","נתיב המזלות 13, תל אביב",null,null,null,052-3333150,https://images.rest.co.il/Rests/staticmaps/80321579/s1w566h250lon34.778934lat32.066236.png
מלי בונו,"מלי בונו, תל אביב","יבנה 42, תל אביב",null,null,null,03-7170300,https://images.rest.co.il/Rests/staticmaps/80329851/s1w566h250lon34.778934lat32.066236.png
גולדה,"גולדה, תל אביב","דיזנגוף 245, תל אביב",גלידריה,null,null,03-5164014,https://images.rest.co.il/Rests/staticmaps/80327613/s1w566h250lon34.778934lat32.066236.png
פלאפל יד אליהו,"פלאפל יד אליהו, יד אליהו, תל אביב","שד' יד לבנים 2, יד אליהו, תל אביב",חומוס,null,null,053-9440330,https://images.rest.co.il/Rests/staticmaps/80088883/s1w566h250lon34.792547lat32.060799.png
לג'נדה - LEGGENDA,"לג'נדה - LEGGENDA, נמל תל-אביב  נמל יפו האנגר 1","הנמל 30, נמל תל-אביב",גלידריה,null,null,053-9367187,https://images.rest.co.il/Rests/staticmaps/80138126/s1w566h250lon34.773197lat32.095734.png
מלבי דג'אני,"מלבי דג'אני, יפו, תל אביב  יפו","שד' ירושלים 94, יפו, תל אביב",null,null,null,052-5542600,https://images.rest.co.il/Rests/staticmaps/80193898/s1w566h250lon34.758177lat32.046012.png
מאפו - Mapu,"מאפו - Mapu, תל אביב","מאפו 9, תל אביב",מסעדה ים תיכונית,null,כשר,053-5494941,https://images.rest.co.il/Rests/staticmaps/80231348/s1w566h250lon34.76973lat32.08069.png
פיקנסין,"פיקנסין, קניון עזריאלי, תל אביב  קניון עזריאלי","דרך מנחם בגין 132, קניון עזריאלי, תל אביב",מסעדה סינית,null,כשר,053-9349825,https://images.rest.co.il/Rests/staticmaps/80034411/s1w566h250lon34.791061lat32.074354.png
יא פאן,"יא פאן, תל אביב","נחמני 26, תל אביב",מסעדה יפנית,null,null,053-9427671,https://images.rest.co.il/Rests/staticmaps/80264049/s1w566h250lon34.775776lat32.065619.png
